Trad vs Roth IRA,,,,,,,,TRAD IRA ONLY,,,Rate of Ret,,,,,,ROTH IRA ONLY,,,,,,,,,,,OPTIMAL SWITCH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Beg of year,,5.00%,,,,,,,,,Beg of year,,,,,,,,Trad,,,,,,,,,,Roth,,,,,,,,,,,Combined,,,
2090,65,65,35%,"$250,000",,"$8,000",,"$1,329,502","$8,000","$1,760","$66,875",$0,$0,$0,"$1,404,377",,"$1,011,949","$8,000","$2,800","$5,200",$86,"$50,857",$0,$0,$0,"$1,068,006",,"$713,456","$7,000","$7,000","$1,540","$36,023",$0,$0,$0,"$756,479",,"$458,569",$0,$0,$0,$172,"$22,928",$0,$0,$0,"$481,497",,"$1,194,953",$0,$0,"$1,237,976"
2091,66,66,35%,"$250,000",,"$8,000",,"$1,404,377","$8,000","$1,760","$70,619",$0,$0,$0,"$1,482,996",,"$1,068,006","$8,000","$2,800","$5,200",$86,"$53,660",$0,$0,$0,"$1,126,867",,"$756,479","$7,000","$7,000","$1,540","$38,174",$0,$0,$0,"$801,653",,"$481,497",$0,$0,$0,$172,"$24,075",$0,$0,$0,"$505,572",,"$1,262,051",$0,$0,"$1,307,225"
2092,67,67,22%,"$80,000",,$0,,"$1,482,996",$0,$0,"$74,150","$94,200","$20,724","$73,476","$1,462,945",,"$1,126,867",$0,$0,$0,$86,"$56,343","$73,000",$0,"$73,000","$1,110,210",,"$801,653",$0,$0,$0,"$40,083","$26,650","$5,863","$20,787","$815,085",,"$505,572",$0,$0,$0,$172,"$25,279","$57,660",$0,"$57,660","$473,191",,"$1,274,843","$84,310","$78,447","$1,288,276"
2093,68,68,22%,"$80,000",,$0,,"$1,462,945",$0,$0,"$73,147","$94,200","$20,724","$73,476","$1,441,893",,"$1,110,210",$0,$0,$0,$86,"$55,510","$73,000",$0,"$73,000","$1,092,720",,"$815,085",$0,$0,$0,"$40,754","$26,650","$5,863","$20,787","$829,190",,"$473,191",$0,$0,$0,$172,"$23,660","$57,660",$0,"$57,660","$439,190",,"$1,254,276","$84,310","$78,447","$1,268,380"
2094,69,69,22%,"$80,000",,$0,,"$1,441,893",$0,$0,"$72,095","$94,200","$20,724","$73,476","$1,419,787",,"$1,092,720",$0,$0,$0,$86,"$54,636","$73,000",$0,"$73,000","$1,074,356",,"$829,190",$0,$0,$0,"$41,459","$26,650","$5,863","$20,787","$843,999",,"$439,190",$0,$0,$0,$172,"$21,960","$57,660",$0,"$57,660","$403,490",,"$1,232,679","$84,310","$78,447","$1,247,489"
2095,70,70,22%,"$80,000",,$0,,"$1,419,787",$0,$0,"$70,989","$94,200","$20,724","$73,476","$1,396,577",,"$1,074,356",$0,$0,$0,$86,"$53,718","$73,000",$0,"$73,000","$1,055,074",,"$843,999",$0,$0,$0,"$42,200","$26,650","$5,863","$20,787","$859,549",,"$403,490",$0,$0,$0,$172,"$20,174","$57,660",$0,"$57,660","$366,004",,"$1,210,003","$84,310","$78,447","$1,225,553"
2096,71,71,22%,"$80,000",,$0,,"$1,396,577",$0,$0,"$69,829","$94,200","$20,724","$73,476","$1,372,205",,"$1,055,074",$0,$0,$0,$86,"$52,754","$73,000",$0,"$73,000","$1,034,828",,"$859,549",$0,$0,$0,"$42,977","$26,650","$5,863","$20,787","$875,876",,"$366,004",$0,$0,$0,$172,"$18,300","$57,660",$0,"$57,660","$326,644",,"$1,186,193","$84,310","$78,447","$1,202,521"
2097,72,72,22%,"$80,000",,$0,,"$1,372,205",$0,$0,"$68,610","$94,200","$20,724","$73,476","$1,346,616",,"$1,034,828",$0,$0,$0,$86,"$51,741","$73,000",$0,"$73,000","$1,013,569",,"$875,876",$0,$0,$0,"$43,794","$26,650","$5,863","$20,787","$893,020",,"$326,644",$0,$0,$0,$172,"$16,332","$57,660",$0,"$57,660","$285,317",,"$1,161,193","$84,310","$78,447","$1,178,337"
2098,73,73,22%,"$80,000",,$0,,"$1,346,616",$0,$0,"$67,331","$94,200","$20,724","$73,476","$1,319,746",,"$1,013,569",$0,$0,$0,$86,"$50,678","$73,000",$0,"$73,000","$991,248",,"$893,020",$0,$0,$0,"$44,651","$26,650","$5,863","$20,787","$911,021",,"$285,317",$0,$0,$0,$172,"$14,266","$57,660",$0,"$57,660","$241,922",,"$1,134,943","$84,310","$78,447","$1,152,944"
2099,74,74,22%,"$80,000",,$0,,"$1,319,746",$0,$0,"$65,987","$94,200","$20,724","$73,476","$1,291,534",,"$991,248",$0,$0,$0,$86,"$49,562","$73,000",$0,"$73,000","$967,810",,"$911,021",$0,$0,$0,"$45,551","$26,650","$5,863","$20,787","$929,922",,"$241,922",$0,$0,$0,$172,"$12,096","$57,660",$0,"$57,660","$196,359",,"$1,107,380","$84,310","$78,447","$1,126,281"
2100,75,75,22%,"$80,000",,$0,,"$1,291,534",$0,$0,"$64,577","$94,200","$20,724","$73,476","$1,261,911",,"$967,810",$0,$0,$0,$86,"$48,391","$73,000",$0,"$73,000","$943,201",,"$929,922",$0,$0,$0,"$46,496","$26,650","$5,863","$20,787","$949,768",,"$196,359",$0,$0,$0,$172,"$9,818","$57,660",$0,"$57,660","$148,517",,"$1,078,439","$84,310","$78,447","$1,098,285"
2101,76,76,22%,"$80,000",,$0,,"$1,261,911",$0,$0,"$63,096","$94,200","$20,724","$73,476","$1,230,806",,"$943,201",$0,$0,$0,$86,"$47,160","$73,000",$0,"$73,000","$917,361",,"$949,768",$0,$0,$0,"$47,488","$26,650","$5,863","$20,787","$970,607",,"$148,517",$0,$0,$0,$172,"$7,426","$57,660",$0,"$57,660","$98,282",,"$1,048,051","$84,310","$78,447","$1,068,889"
2102,77,77,22%,"$80,000",,$0,,"$1,230,806",$0,$0,"$61,540","$94,200","$20,724","$73,476","$1,198,146",,"$917,361",$0,$0,$0,$86,"$45,868","$73,000",$0,"$73,000","$890,229",,"$970,607",$0,$0,$0,"$48,530","$26,650","$5,863","$20,787","$992,487",,"$98,282",$0,$0,$0,$172,"$4,914","$57,660",$0,"$57,660","$45,536",,"$1,016,143","$84,310","$78,447","$1,038,024"
2103,78,78,22%,"$80,000",,$0,,"$1,198,146",$0,$0,"$59,907","$94,200","$20,724","$73,476","$1,163,854",,"$890,229",$0,$0,$0,$86,"$44,511","$73,000",$0,"$73,000","$861,740",,"$992,487",$0,$0,$0,"$49,624","$26,650","$5,863","$20,787","$1,015,462",,"$45,536",$0,$0,$0,$172,"$2,277","$57,660",$0,"$57,660","-$9,847",,"$982,641","$84,310","$78,447","$1,005,615"
2104,79,79,22%,"$80,000",,$0,,"$1,163,854",$0,$0,"$58,193","$94,200","$20,724","$73,476","$1,127,846",,"$861,740",$0,$0,$0,$86,"$43,087","$73,000",$0,"$73,000","$831,827",,"$1,015,462",$0,$0,$0,"$50,773","$26,650","$5,863","$20,787","$1,039,585",,"-$9,847",$0,$0,$0,$172,-$492,"$57,660",$0,"$57,660","-$67,999",,"$947,463","$84,310","$78,447","$971,586"
2105,80,80,22%,"$80,000",,$0,,"$1,127,846",$0,$0,"$56,392","$94,200","$20,724","$73,476","$1,090,039",,"$831,827",$0,$0,$0,$86,"$41,591","$73,000",$0,"$73,000","$800,419",,"$1,039,585",$0,$0,$0,"$51,979","$26,650","$5,863","$20,787","$1,064,914",,"-$67,999",$0,$0,$0,$172,"-$3,400","$57,660",$0,"$57,660","-$129,059",,"$910,526","$84,310","$78,447","$935,855"
2106,81,81,22%,"$80,000",,$0,,"$1,090,039",$0,$0,"$54,502","$94,200","$20,724","$73,476","$1,050,341",,"$800,419",$0,$0,$0,$86,"$40,021","$73,000",$0,"$73,000","$767,439",,"$1,064,914",$0,$0,$0,"$53,246","$26,650","$5,863","$20,787","$1,091,510",,"-$129,059",$0,$0,$0,$172,"-$6,453","$57,660",$0,"$57,660","-$193,172",,"$871,742","$84,310","$78,447","$898,338"
2107,82,82,22%,"$80,000",,$0,,"$1,050,341",$0,$0,"$52,517","$94,200","$20,724","$73,476","$1,008,658",,"$767,439",$0,$0,$0,$86,"$38,372","$73,000",$0,"$73,000","$732,811",,"$1,091,510",$0,$0,$0,"$54,575","$26,650","$5,863","$20,787","$1,119,435",,"-$193,172",$0,$0,$0,$172,"-$9,659","$57,660",$0,"$57,660","-$260,491",,"$831,019","$84,310","$78,447","$858,945"
2108,83,83,22%,"$80,000",,$0,,"$1,008,658",$0,$0,"$50,433","$94,200","$20,724","$73,476","$964,890",,"$732,811",$0,$0,$0,$86,"$36,641","$73,000",$0,"$73,000","$696,452",,"$1,119,435",$0,$0,$0,"$55,972","$26,650","$5,863","$20,787","$1,148,757",,"-$260,491",$0,$0,$0,$172,"-$13,025","$57,660",$0,"$57,660","-$331,175",,"$788,260","$84,310","$78,447","$817,582"
2109,84,84,22%,"$80,000",,$0,,"$964,890",$0,$0,"$48,245","$94,200","$20,724","$73,476","$918,935",,"$696,452",$0,$0,$0,$86,"$34,823","$73,000",$0,"$73,000","$658,275",,"$1,148,757",$0,$0,$0,"$57,438","$26,650","$5,863","$20,787","$1,179,545",,"-$331,175",$0,$0,$0,$172,"-$16,559","$57,660",$0,"$57,660","-$405,394",,"$743,363","$84,310","$78,447","$774,151"
2110,85,85,22%,"$80,000",,$0,,"$918,935",$0,$0,"$45,947","$94,200","$20,724","$73,476","$870,682",,"$658,275",$0,$0,$0,$86,"$32,914","$73,000",$0,"$73,000","$618,188",,"$1,179,545",$0,$0,$0,"$58,977","$26,650","$5,863","$20,787","$1,211,872",,"-$405,394",$0,$0,$0,$172,"-$20,270","$57,660",$0,"$57,660","-$483,324",,"$696,221","$84,310","$78,447","$728,548"
2111,86,86,22%,"$80,000",,$0,,"$870,682",$0,$0,"$43,534","$94,200","$20,724","$73,476","$820,016",,"$618,188",$0,$0,$0,$86,"$30,909","$73,000",$0,"$73,000","$576,098",,"$1,211,872",$0,$0,$0,"$60,594","$26,650","$5,863","$20,787","$1,245,816",,"-$483,324",$0,$0,$0,$172,"-$24,166","$57,660",$0,"$57,660","-$565,150",,"$646,722","$84,310","$78,447","$680,666"
2112,87,87,22%,"$80,000",,$0,,"$820,016",$0,$0,"$41,001","$94,200","$20,724","$73,476","$766,817",,"$576,098",$0,$0,$0,$86,"$28,805","$73,000",$0,"$73,000","$531,903",,"$1,245,816",$0,$0,$0,"$62,291","$26,650","$5,863","$20,787","$1,281,456",,"-$565,150",$0,$0,$0,$172,"-$28,257","$57,660",$0,"$57,660","-$651,067",,"$594,748","$84,310","$78,447","$630,389"
2113,88,88,22%,"$80,000",,$0,,"$766,817",$0,$0,"$38,341","$94,200","$20,724","$73,476","$710,957",,"$531,903",$0,$0,$0,$86,"$26,595","$73,000",$0,"$73,000","$485,498",,"$1,281,456",$0,$0,$0,"$64,073","$26,650","$5,863","$20,787","$1,318,879",,"-$651,067",$0,$0,$0,$172,"-$32,553","$57,660",$0,"$57,660","-$741,281",,"$540,176","$84,310","$78,447","$577,599"
2114,89,89,22%,"$80,000",,$0,,"$710,957",$0,$0,"$35,548","$94,200","$20,724","$73,476","$652,305",,"$485,498",$0,$0,$0,$86,"$24,275","$73,000",$0,"$73,000","$436,773",,"$1,318,879",$0,$0,$0,"$65,944","$26,650","$5,863","$20,787","$1,358,173",,"-$741,281",$0,$0,$0,$172,"-$37,064","$57,660",$0,"$57,660","-$836,005",,"$482,875","$84,310","$78,447","$522,169"
2115,90,90,22%,"$80,000",,$0,,"$652,305",$0,$0,"$32,615","$94,200","$20,724","$73,476","$590,721",,"$436,773",$0,$0,$0,$86,"$21,839","$73,000",$0,"$73,000","$385,611",,"$1,358,173",$0,$0,$0,"$67,909","$26,650","$5,863","$20,787","$1,399,432",,"-$836,005",$0,$0,$0,$172,"-$41,800","$57,660",$0,"$57,660","-$935,465",,"$422,708","$84,310","$78,447","$463,967"
2116,91,91,22%,"$80,000",,$0,,"$590,721",$0,$0,"$29,536","$94,200","$20,724","$73,476","$526,057",,"$385,611",$0,$0,$0,$86,"$19,281","$73,000",$0,"$73,000","$331,892",,"$1,399,432",$0,$0,$0,"$69,972","$26,650","$5,863","$20,787","$1,442,753",,"-$935,465",$0,$0,$0,$172,"-$46,773","$57,660",$0,"$57,660","-$1,039,898",,"$1,399,432","$84,310","$78,447","$402,855"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,,,"$353,000","$77,660","$2,528,057","$2,355,000","$518,100","$1,836,900",,,,"$353,000","$95,700","$257,300","$7,808","$1,899,592","$1,825,000",$0,"$1,825,000",,,,,"$221,000","$48,620","$1,888,003","$666,250","$146,575","$519,675",,,,"$117,000","$25,740","$91,260","$15,616","$310,342","$1,441,500",$0,"$1,441,500",,,,"$2,107,750","$1,961,175",
